,Ranking,World Rank,University,Country,Impact Rank,Openness Rank,Excellence Rank,World Ranking,Continental Ranking,Country Rank,Impact,Openness,Excellence
427,428,8081,Yaba College of Technology,Nigeria,9408,4755,7237,8081,235,75,9408,4755,7237
428,429,8110,Baze University Kuchigoro,Kenya,10550,3679,7237,8110,237,76,10550,3679,7237
429,430,8110,Ho Technical University,Ghana,9634,4592,7237,8110,238,13,9634,4592,7237
430,431,8119,Gregory University Uturu,Zimbabwe,9002,5225,7237,8119,239,77,9002,5225,7237
431,432,8191,Tai Solarin University of Education,Nigeria,10515,3884,7237,8191,240,78,10515,3884,7237
432,433,8231,Adeleke University Ede,South Africa,9917,4552,7237,8231,241,79,9917,4552,7237
433,434,8312,Bishop Stuart University,Ethiopia,14225,8183,6035,8312,242,13,14225,8183,6035
434,435,8371,Akwa Ibom State University of Technology,Nigeria,12022,2737,7237,8371,243,80,12022,2737,7237
435,436,8385,Kaduna State University,Nigeria,11656,3146,7237,8385,244,81,11656,3146,7237
436,437,8436,Université d'Alger 2,Kenya,13564,8183,6156,8436,474,56,13564,8183,6156
437,438,8465,Central University,South Africa,12524,6183,6862,8465,245,14,12524,6183,6862
438,439,8511,Federal University Otuoke Bayelsa,Ghana,11507,3500,7237,8511,246,82,11507,3500,7237
439,440,8516,Mkwawa University College of Education,Tunisia,19463,8183,5415,8516,247,12,19463,8183,5415
440,441,8523,Uganda Christian University,Uganda,8093,6662,7237,8523,248,14,8093,6662,7237
441,442,8523,Higher Institute of Science and Technology Sabratha,Tunisia,4661,8183,7237,8523,475,12,4661,8183,7237
442,443,8546,Université Nazi Boni,South Africa,21753,8183,5062,8546,249,2,21753,8183,5062
443,444,8559,Université de Bangui,Central African Republic,17334,8183,5709,8559,250,1,17334,8183,5709
444,445,8607,Kano University of Science & Technology Wudil,Nigeria,11293,3910,7237,8607,251,83,11293,3910,7237
445,446,8624,National Ribat University,Sudan,16887,8183,5778,8624,476,18,16887,8183,5778
446,447,8708,(3) Université de Tunis Suptech Ecole Supérieure Privée de Technologie et de Management en Tunisie,Nigeria,4917,8183,7237,8708,477,24,4917,8183,7237
447,448,8715,Ibrahim Badamasi Babangida University Lapai,Nigeria,11975,3455,7237,8715,252,84,11975,3455,7237
448,449,8721,Zimbabwe Open University,Zimbabwe,12942,7497,6598,8721,253,10,12942,7497,6598
449,450,8721,(3) Université de Tunis Ecole Supérieure des Sciences Economiques et Commerciales,Zimbabwe,20223,8183,5362,8721,478,25,20223,8183,5362
450,451,8776,Université Alassane Ouattara,South Africa,16606,8183,5861,8776,254,3,16606,8183,5861
451,452,8801,National University Sudan,Ethiopia,20696,4290,6291,8801,479,19,20696,4290,6291
452,453,8810,Uganda Management Institute,Ethiopia,13726,7247,6598,8810,255,15,13726,7247,6598
453,454,8834,University of Eldoret,Kenya,11928,3767,7237,8834,256,22,11928,3767,7237
454,455,8892,Taraba State University Jalingo,Nigeria,10152,5559,7237,8892,257,85,10152,5559,7237
455,456,8898,Machakos University,Sudan,11763,4087,7237,8898,258,23,11763,4087,7237
456,457,8949,Kibabii University,Kenya,11321,4620,7237,8949,259,24,11321,4620,7237
457,458,8949,University of Energy and Natural Resources,Kenya,12874,3094,7237,8949,260,15,12874,3094,7237
458,459,9008,(3) Université de Sfax Institut Supérieur de Biotechnologies de Sfax,Sudan,24659,8183,4694,9008,483,26,24659,8183,4694
459,460,9008,Kisii University,Kenya,12219,3839,7237,9008,261,25,12219,3839,7237
460,461,9053,École Inter Etats des Sciences et Medecine Veterinaires,Ghana,14815,8183,6156,9053,262,7,14815,8183,6156
461,462,9062,Alexandria Higher Institute for Technology,Nigeria,23201,7512,5415,9062,484,56,23201,7512,5415
